City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
602,Na Wa,TH,68.0,clear sky,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
611,Nha Trang,VN,77.0,broken clouds,12.25,109.1833,Hanoi Golden Hotel
612,Mandurah,AU,66.0,light rain,-32.55,115.7,Atrium Hotel Mandurah
615,Natal,BR,78.8,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
617,Kiama,AU,79.0,clear sky,-34.6833,150.8667,The Sebel Kiama Harbourside
619,Pingxiang,CN,60.15,light rain,27.6167,113.85,Haiyuntian Hotel
622,Chicama,PE,73.17,overcast clouds,-7.8447,-79.1469,Hospedaje Punta Cana PERU
623,Puerto Asis,CO,74.17,broken clouds,0.5133,-76.5007,Ayawaska Hostal
632,Santa Cruz Cabralia,BR,78.8,broken clouds,-16.2781,-39.0247,Portobali Hotel
638,Wukari,NG,75.4,clear sky,7.85,9.7833,Elimtop
641,Porbandar,IN,64.35,clear sky,21.6422,69.6093,Lords Inn Porbandar
644,Mokobeng,BW,67.73,overcast clouds,-22.9965,27.6678,Omphile B. Molefhe
647,Chiredzi,ZW,72.7,broken clouds,-21.05,31.6667,The Nesbitt Arms
648,Eyl,SO,74.7,broken clouds,7.9803,49.8164,Amiin Hotel
652,Payakumbuh,ID,75.81,overcast clouds,-0.2202,100.6308,OYO 3114 Homestay Dalimo
653,Maxixe,MZ,75.27,overcast clouds,-23.8597,35.3472,Oceano
654,Menongue,AO,65.3,light rain,-14.6585,17.691,Ritz Lauca
657,Buala,SB,77.7,light rain,-8.145,159.5921,Maringe Lagoon Lodge
662,Akim Swedru,GH,75.18,few clouds,5.8938,-1.0164,Green Pearls Inn
663,Port Pirie,AU,69.8,broken clouds,-33.1833,138.0167,John Pirie Motor Inn
664,Azogues,EC,62.6,broken clouds,-2.7333,-78.8333,Hotel Ceasar Palace
667,Whitianga,NZ,68.86,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
668,Cabedelo,BR,78.8,few clouds,-6.9811,-34.8339,Hotel Pigalle
669,Playa Del Carmen,MX,79.0,clear sky,20.6274,-87.0799,Hotel Kinbe
676,Jieshi,CN,67.71,clear sky,22.8134,115.8257,Yuehai Hotel
678,Richards Bay,ZA,72.79,scattered clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
682,Zaraza,VE,75.47,overcast clouds,9.3503,-65.3245,Hotel Zaraza
683,Moyale,KE,68.43,overcast clouds,3.5167,39.0584,La Tahzan Guest House
684,Warkworth,NZ,77.0,overcast clouds,-36.4,174.6667,Bridge House Lodge Bar & Restaurant
