City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
130,Bambous Virieux,MU,2021-02-02 23:49:15,-20.3428,57.7575,79.0,78,40,6.91
131,Sajalices,PA,2021-02-02 23:51:15,8.6834,-79.8707,84.2,65,20,13.8
132,Hasaki,JP,2021-02-02 23:51:15,35.7333,140.8333,41.0,56,20,2.3
133,Padang,ID,2021-02-02 23:47:00,-0.9492,100.3543,75.2,94,75,2.3
134,Vila Franca Do Campo,PT,2021-02-02 23:51:15,37.7167,-25.4333,57.2,62,20,26.46
135,Goderich,CA,2021-02-02 23:50:51,43.7501,-81.7165,26.6,74,84,11.5
136,Pyaozerskiy,RU,2021-02-02 23:51:16,65.8333,31.1667,4.73,93,1,3.27
137,Salinopolis,BR,2021-02-02 23:51:16,-0.6136,-47.3561,79.23,85,74,11.36
138,Hobart,AU,2021-02-02 23:51:16,-42.8794,147.3294,63.0,55,75,6.91
139,Banda Aceh,ID,2021-02-02 23:51:16,5.5577,95.3222,78.17,79,53,10.25
140,Lyuban,BY,2021-02-02 23:49:08,52.7985,28.0048,24.44,98,99,8.28
141,Pathein,MM,2021-02-02 23:51:16,16.7833,94.7333,61.14,74,0,6.29
142,Castillo De Teayo,MX,2021-02-02 23:51:16,20.75,-97.6167,73.4,53,75,11.5
143,Agirish,RU,2021-02-02 23:51:16,61.9247,63.0231,5.04,93,2,6.71
144,Chapada Dos Guimaraes,BR,2021-02-02 23:51:16,-15.4606,-55.7497,78.8,73,40,12.66
145,Harper,LR,2021-02-02 23:51:17,4.375,-7.7169,78.3,89,8,5.19
146,Talnakh,RU,2021-02-02 23:51:17,69.4865,88.3972,-13.14,82,98,5.37
147,Ilulissat,GL,2021-02-02 23:51:17,69.2167,-51.1,-5.8,77,20,21.85
148,Roald,NO,2021-02-02 23:51:17,62.5833,6.1333,24.8,80,0,10.36
149,Miraflores,MX,2021-02-02 23:51:17,19.2167,-98.8083,75.2,6,1,6.91
150,Lashio,MM,2021-02-02 23:51:17,22.9333,97.75,45.84,61,0,1.07
151,Jieshi,CN,2021-02-02 23:51:17,22.8134,115.8257,59.13,71,31,18.72
152,Tasiilaq,GL,2021-02-02 23:51:17,65.6145,-37.6368,19.4,93,90,4.61
153,Port Hardy,CA,2021-02-02 23:51:17,50.6996,-127.4199,44.6,75,75,8.05
154,Aykhal,RU,2021-02-02 23:51:18,66.0,111.5,-23.51,83,100,11.01
155,Timberlake,US,2021-02-02 23:49:13,37.3207,-79.2575,33.8,51,1,3.44
156,Makakilo City,US,2021-02-02 23:51:18,21.3469,-158.0858,78.8,65,75,9.22
157,Constitucion,CL,2021-02-02 23:51:18,-35.3333,-72.4167,59.83,82,9,6.31
