City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
420,Kandrian,PG,-6.2167,149.55,88.12,62,100,7.7,overcast clouds
421,Nueva Loja,EC,0.0847,-76.8828,72.57,94,30,0.04,scattered clouds
422,Kralendijk,BQ,12.15,-68.2667,78.8,73,20,14.97,few clouds
423,Rancho Palos Verdes,US,33.7445,-118.387,60.01,58,1,11.5,clear sky
424,Nuevo Progreso,MX,23.1667,-97.95,70.0,91,60,14.0,broken clouds
425,Kuryk,KZ,43.2,51.65,37.42,75,31,8.32,scattered clouds
426,Amapa,BR,1.0,-52.0,71.62,98,94,1.79,overcast clouds
427,Salisbury,GB,51.0693,-1.7957,37.4,93,75,18.41,broken clouds
428,Tallahassee,US,30.4383,-84.2807,50.0,93,90,9.22,overcast clouds
429,Puerto Cabezas,NI,14.0351,-83.3888,77.16,85,11,9.35,few clouds
430,Luau,AO,-10.7073,22.2247,65.52,99,100,3.51,moderate rain
431,La Asuncion,VE,11.0333,-63.8628,76.19,85,100,14.5,overcast clouds
432,Sandviken,SE,60.6167,16.7667,21.0,86,93,5.99,light snow
433,Vestmannaeyjar,IS,63.4427,-20.2734,38.37,76,0,27.38,clear sky
434,Kangaatsiaq,GL,68.3065,-53.4641,23.32,86,2,21.54,clear sky
435,Silver City,US,32.7701,-108.2803,46.4,19,1,6.91,clear sky
436,Sao Filipe,CV,14.8961,-24.4956,69.53,73,18,15.32,few clouds
437,Rafaela,AR,-31.2503,-61.4867,75.0,47,0,1.99,clear sky
438,Impfondo,CG,1.6381,18.0667,73.44,74,3,2.35,light rain
439,Southbridge,US,42.0751,-72.0334,32.0,40,1,12.66,clear sky
440,Namatanai,PG,-3.6667,152.4333,86.16,63,86,6.6,overcast clouds
441,Chicaman,GT,15.4,-90.7667,61.27,78,6,2.15,clear sky
442,Qandala,SO,11.472,49.8728,73.87,76,21,1.54,few clouds
443,Tuatapere,NZ,-46.1333,167.6833,71.83,47,10,6.04,clear sky
444,Dawson Creek,CA,55.7666,-120.2362,-34.6,74,1,2.3,haze
445,Japura,ID,-0.3167,102.35,81.34,69,73,3.74,broken clouds
446,Vostok,RU,46.4856,135.8833,-3.82,89,100,3.58,overcast clouds
447,Olinda,BR,-8.0089,-34.8553,78.8,73,20,5.75,few clouds
448,Tumbagaan,PH,5.3656,120.3139,81.88,77,100,6.85,overcast clouds
449,Puerto Escondido,MX,15.85,-97.0667,80.6,74,75,4.61,broken clouds
450,Zhezkazgan,KZ,47.8043,67.7144,14.11,95,52,14.56,broken clouds
451,Constitucion,CL,-35.3333,-72.4167,57.38,87,32,4.29,scattered clouds
452,Alice Springs,AU,-23.7,133.8833,87.01,25,4,17.27,clear sky
453,Tahta,EG,26.7693,31.5021,53.6,71,0,6.91,clear sky
454,Gornopravdinsk,RU,60.05,69.9,34.09,91,100,10.38,overcast clouds
455,Akdepe,TM,42.0551,59.3788,37.4,93,90,2.3,overcast clouds
456,Havre-Saint-Pierre,CA,50.2334,-63.5986,28.4,93,90,34.52,snow
457,Port Hawkesbury,CA,45.6169,-61.3485,32.0,69,20,16.11,few clouds
458,Nacala,MZ,-14.5428,40.6728,76.41,89,100,2.51,overcast clouds
459,Conakry,GN,9.538,-13.6773,79.0,66,67,4.25,broken clouds
460,Ayan,RU,56.45,138.1667,0.27,91,100,13.11,light snow
